,words,出現回数
0,の,127
1,さん,118
2,年,88
3,前編,84
4,後編,83
5,人,80
6,日本,70
7,コロナ,68
8,笑い,54
9,飯,54
10,哲夫,54
11,氏,53
12,教室,52
13,いま,51
14,記者,50
15,ん,50
16,しんぶん,50
17,世界,49
18,平,49
19,こと,48
20,征,48
21,者,44
22,中国,43
23,さ,43
24,吉,43
25,弥,43
26,土曜,43
27,全開,43
28,何,39
29,首相,39
30,私,39
31,たち,38
32,政治,34
33,日,33
34,アメリカ,28
35,前,28
36,問題,28
37,月,28
38,選,27
39,家,27
40,取材,25
41,社会,24
42,朝,24
43,東京,23
44,女性,23
45,時代,23
46,京都,23
47,政権,22
48,誰,22
49,掘り,22
50,沖縄,22
51,選挙,21
52,性,21
53,新聞,21
54,ため,21
55,歴史,20
56,国,19
57,子ども,18
58,あなた,18
59,化,18
60,的,18
61,戦争,18
62,心,18
63,理由,17
64,菅,17
65,ネット,17
66,円,17
67,言葉,17
68,ウクライナ,17
69,方,16
70,会,16
71,もの,16
72,仕事,16
73,裏,16
74,よう,16
75,ポキ,16
76,岸田,15
77,どこ,15
78,現場,15
79,事件,15
80,それ,15
81,ロシア,14
82,五輪,14
83,後,14
84,力,14
85,大阪,14
86,中,14
87,歳,14
88,月刊,14
89,号,14
90,自分,13
91,本,13
92,研究,13
93,愛,13
94,うち,13
95,仏教,13
96,侵攻,13
97,オリンピック,12
98,トランプ,12
99,意味,12
100,ベトナム,12
101,謎,12
102,今,12
103,米,12
104,未来,12
105,広島,12
106,リアル,12
107,編集,12
108,楽屋裏,12
109,坊さん,12
110,宗教,12
111,大統領,11
112,ぶり,11
113,自民党,11
114,被災,11
115,関係,11
116,変化,11
117,編,11
118,アフガン,11
119,郵便,11
120,島,11
121,サイバー,11
122,道,11
123,プーチン,10
124,安倍,10
125,経済,10
126,知事,10
127,命,10
128,崩壊,10
129,街,10
130,ダメ,10
131,トップ,10
132,朝日新聞,10
133,ビジネス,10
134,核,10
135,現実,10
136,事情,10
137,法,10
138,夢,10
139,好き,10
140,わけ,10
141,韓国,10
142,目,10
143,映画,10
144,関西,10
145,子育て,10
146,感染,9
147,影,9
148,被爆,9
149,調査,9
150,報道,9
151,舞台裏,9
152,員,9
153,地,9
154,気,9
155,サッカー,9
156,市民,9
157,子,9
158,先,9
159,台湾,9
160,愛知,9
161,料理,9
162,長,9
163,みんな,9
164,組織,9
165,ゲーム,9
166,情報,9
167,代,9
168,簿,9
169,とき,9
170,僧侶,9
171,お寺,9
172,顔,9
173,対応,8
174,支持,8
175,外,8
176,小池,8
177,会見,8
178,人気,8
179,記事,8
180,SNS,8
181,暴力,8
182,次,8
183,維新,8
184,人間,8
185,舞台,8
186,自由,8
187,ポッドキャスト,8
188,これ,8
189,登場,8
190,インド,8
191,声,8
192,外交,8
193,死,8
194,宇宙,8
195,人生,8
196,スポーツ,8
197,親,8
198,女子,8
199,政策,8
200,選手,8
201,局,8
202,ヒロシマ,8
203,物語,8
204,徳川,8
205,写真,8
206,酒,8
207,阪神,8
208,フィギュア,8
209,政府,7
210,派,7
211,人事,7
212,計画,7
213,日常,7
214,下,7
215,意外,7
216,衆院,7
217,大丈夫,7
218,率,7
219,男,7
220,素顔,7
221,賞,7
222,出演,7
223,議員,7
224,戦,7
225,動物,7
226,ペット,7
227,メディア,7
228,大事,7
229,価値,7
230,解説,7
231,組,7
232,夫婦,7
233,家族,7
234,香港,7
235,男性,7
236,危機,7
237,論,7
238,企業,7
239,いつ,7
240,ミャンマー,7
241,音声,7
242,話,7
243,耳,7
244,感,7
245,国際,7
246,はず,7
247,自衛隊,7
248,医,7
249,局長,7
250,町,7
251,上,7
252,核兵器,7
253,スター,7
254,なん,7
255,入門,7
256,時,7
257,団,7
258,大震災,7
259,火災,7
260,証言,7
261,学校,7
262,源,7
263,発見,7
264,わし,7
265,家康,7
266,シンガポール,6
267,データ,6
268,水,6
269,病院,6
270,都知事,6
271,本当,6
272,夫,6
273,マンション,6
274,隔離,6
275,衝撃,6
276,引退,6
277,スマ,6
278,ホ,6
279,海外,6
280,実態,6
281,背景,6
282,マスク,6
283,対策,6
284,育児,6
285,別姓,6
286,禁止,6
287,ツイッター,6
288,陰謀,6
289,表現,6
290,票,6
291,配信,6
292,倍,6
293,リーダー,6
294,花,6
295,彼女,6
296,姿,6
297,質問,6
298,優勝,6
299,争い,6
300,遺産,6
301,そこ,6
302,避難,6
303,ニュース,6
304,地方,6
305,平和,6
306,支援,6
307,経験,6
308,委員,6
309,教育,6
310,発信,6
311,攻撃,6
312,科学,6
313,ローン,6
314,日々,6
315,敬,6
316,先生,6
317,絶望,6
318,代償,6
319,ビル,6
320,猫,6
321,文化,6
322,身,6
323,坪井,6
324,直,6
325,中学,6
326,活,6
327,事故,6
328,春,6
329,Q,6
330,展,6
331,名古屋,6
332,ニーズ,6
333,光,6
334,カルト,6
335,弁,6
336,割,5
337,拡散,5
338,評価,5
339,アベノマスク,5
340,闇,5
341,書,5
342,差別,5
343,電話,5
344,上司,5
345,総裁,5
346,母,5
347,イギリス,5
348,教授,5
349,ニッポン,5
350,ドイツ,5
351,立憲,5
352,民主党,5
353,官,5
354,場,5
355,文雄,5
356,きょう,5
357,バイデン,5
358,vs,5
359,冬,5
360,名,5
361,観,5
362,内,5
363,議論,5
364,違い,5
365,VS,5
366,担当,5
367,グランプリ,5
368,共通,5
369,点,5
370,殺害,5
371,裏側,5
372,回,5
373,必要,5
374,僕,5
375,怒り,5
376,分断,5
377,特別,5
378,高校,5
379,最大,5
380,漬け,5
381,場所,5
382,恩,5
383,労働,5
384,G,5
385,福島,5
386,幹部,5
387,色,5
388,リケジョ,5
389,欧州,5
390,時間,5
391,軍,5
392,魅力,5
393,聖地,5
394,なに,5
395,監視,5
396,カメラ,5
397,意見,5
398,吹奏楽,5
399,覚悟,5
400,長崎,5
401,型,5
402,処分,5
403,紙面,5
404,公開,5
405,制作,5
406,中編,5
407,藤井,5
408,相撲,5
409,業界,5
410,理想,5
411,タカラヅカ,5
412,介護,5
413,躍進,5
414,空,5
415,伝統,5
416,寂聴,5
417,語,5
418,原,5
419,杯,5
420,露,5
421,姫,5
422,世代,5
423,所,5
424,方言,5
425,ルール,5
426,教訓,5
427,受験,5
428,大切,5
429,那覇,5
430,鉄道,5
431,若者,5
432,制裁,5
433,基地,5
434,格差,5
435,北方領土,5
436,転生,5
437,マンガ,5
438,日本一,5
439,強欲,5
440,婚,5
441,参院,5
442,AI,5
443,遺跡,5
444,部,5
445,サンフランシスコ,5
446,リスナー,5
447,記念,5
448,縁,5
449,イベント,5
450,物価,5
451,バスケ,5
452,ふるさと,5
453,甲子園,5
454,ジャ,5
455,平等院,5
456,爆発,4
457,医師,4
458,宣言,4
459,制限,4
460,ロボット,4
461,普通,4
462,責任,4
463,苦悩,4
464,武漢,4
465,答え,4
466,笑顔,4
467,カ月,4
468,血,4
469,義,4
470,シリア,4
471,現状,4
472,絶対,4
473,権利,4
474,一つ,4
475,村,4
476,動画,4
477,国会,4
478,規制,4
479,反対,4
480,デモ,4
481,派閥,4
482,永田町,4
483,孤独,4
484,都,4
485,シナリオ,4
486,ハリウッド,4
487,地震,4
488,希望,4
489,ナンバー,4
490,代表,4
491,バブル,4
492,国民,4
493,家事,4
494,広告,4
495,北海道,4
496,監督,4
497,生命,4
498,過去,4
499,系,4
